"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TRIOBP",-0.133715872880479,9.59181641154891,-3.26446059274555,0.00720331227983805,0.0218937504282701,-3.86776868063133
"PIGG",0.258221953883901,5.48211005790877,3.26370645115539,0.00721314658964867,0.0219142557135003,-3.86914997799253
"FNBP4",-0.14437018225245,7.90158800041189,-3.26279914977772,0.00722499622350012,0.0219329702028504,-3.87081179158385
"IMMT",0.0976322191509791,11.6394652106825,3.26276157126945,0.00722548743613699,0.0219329702028504,-3.87088062007359
"SDHAF4",-0.232845027413464,7.20170988543974,-3.26198027664315,0.0072357079167223,0.0219546041406491,-3.87231162711288
"SEC61B",0.201385210923301,7.63123877623537,3.26164753166165,0.0072400651627276,0.0219584369486657,-3.87292107423178
"COX5A",0.58983222471438,8.2687297675745,3.26118826512085,0.00724608356365829,0.0219673024567633,-3.87376225162531
"ZDHHC5",-0.232755342150769,8.29398611691123,-3.26086437004367,0.00725033105847652,0.0219707939889017,-3.87435548478429
"TM9SF2",0.133923250265813,9.15925891781166,3.25938506224125,0.00726976254504923,0.0220037749981963,-3.87706490047068
"ANAPC5",-0.227713057161807,7.09167004912319,-3.25925493071431,0.00727147441774873,0.0220037749981963,-3.87730323998301
"GPT2",0.130461941529497,9.14819722470777,3.25914726925809,0.00727289100713599,0.0220037749981963,-3.87750042469466
"ERO1A",0.224328811383684,8.97235425755209,3.25909214135602,0.00727361647819762,0.0220037749981963,-3.87760139277323
"OXSM",0.134537641534651,7.81220806020908,3.25831454475133,0.00728385730397339,0.0220253665472088,-3.87902557353934
"TANK",-0.194196011476524,8.29783211756438,-3.25632969592898,0.00731006383090065,0.0220951971924625,-3.88266080401357
"RPL7L1",-0.213958574449645,9.10761806888565,-3.25542767413102,0.00732200507761755,0.0221218688956372,-3.88431282267494
"EXOC6B",0.135934371742941,9.10752405883205,3.2550216363343,0.00732738679004446,0.0221287081059343,-3.88505646030398
"CCNK",-0.137337598202704,8.4894781532105,-3.25459098866811,0.00733309907213418,0.0221365393938478,-3.8858451661325
"CBX4",-0.893015740447797,5.52309701062506,-3.2533172922005,0.00735002034251615,0.0221708908157029,-3.88817784477844
"FXR1",-0.119599440271285,10.6288874630775,-3.25326420179242,0.00735072651674636,0.0221708908157029,-3.88827507514337
"MRPL52",-0.441465195097086,4.82375247354513,-3.2524897598267,0.00736103547028685,0.0221925525627127,-3.88969339039904
"CMAS",-0.137461359763192,9.51678945449665,-3.25158671100135,0.00737307489167391,0.0222194108306623,-3.8913472214474
"TAF6L",-0.202081640876729,7.59284223773879,-3.24711516197777,0.00743298441600908,0.022388125589834,-3.89953610879919
"C5orf51",-0.133685307991472,7.99655834777409,-3.24693795640195,0.00743536874950523,0.022388125589834,-3.89986062235841
"ENY2",-0.326573195300543,8.06688568986038,-3.24325344559665,0.00748512062729207,0.0225158872013888,-3.90660785321791
"UBE2V1",-0.142736471309033,8.02227530403744,-3.24311964691605,0.00748693364698062,0.0225158872013888,-3.90685286548972
"NDUFS2",-0.203186530695746,8.88773060535404,-3.2430913076655,0.00748731771104378,0.0225158872013888,-3.90690476030254
"PPA1",0.13825896590175,10.0194960018622,3.24186050295005,0.00750401732394638,0.0225565484743954,-3.9091585920117
"SPATA5L1",-0.210276931784869,7.19602872991644,-3.23785842729753,0.00755857916570073,0.0227109383314895,-3.91648690315012
"RCL1",-0.263173962221,7.51153934170626,-3.23667875894276,0.00757473866570078,0.0227498604784081,-3.91864695762211
"ASRGL1",-0.180011718555295,7.35726678514407,-3.23512771497628,0.00759603870659556,0.0227952598875486,-3.92148697803047
"INTS10",-0.157971250317821,8.05134588349433,-3.23511026714011,0.00759627865775008,0.0227952598875486,-3.92151892536526
"SEL1L",-0.128562242167863,8.60436592496468,-3.2348059708729,0.007600464724243,0.0227981818038684,-3.92207609674255
"PYCR2",-0.134350403311212,9.4950459790282,-3.23393909223664,0.00761240280677587,0.0228243441992769,-3.92366335370601
"ZNF574",0.308138351537439,6.04571445204416,3.23321699744203,0.00762236153115467,0.0228445522747486,-3.92498549767502
"NUP42",-0.129685268357067,7.79892810554533,-3.2292731772887,0.0076769859619674,0.0229985518666453,-3.93220635075657
"FLOT2",0.125295455126686,9.81607146352147,3.22792014916352,0.00769581753474128,0.0230452392590966,-3.93468356231539
